"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"KD4FBT6J","journalArticle","2014","Bornmann, L.; Moya Anegón, F.","What proportion of excellent papers makes an institution one of the best worldwide? Specifying thresholds for the interpretation of the results of the SCImago Institutions Ranking and the Leiden Ranking.","Journal of the Association for Information Science and Technology","","","","","","2014","2022-08-05 22:42:31","2022-11-09 12:29:26","","732-636","","4","65","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2DCG98ZN","journalArticle","2012","Bornmann, Lutz; de Moya Anegón, Felix; Leydesdorff, Loet","The new Excellence Indicator in the World Report of the SCImago Institutions Rankings 2011","Journal of Informetrics","","17511577","10.1016/j.joi.2011.11.006","https://linkinghub.elsevier.com/retrieve/pii/S1751157711001052","","2012-04","2022-08-05 22:42:31","2022-11-09 12:29:02","2022-03-30 13:45:04","333-335","","2","6","","Journal of Informetrics","","","","","","","","en","","","","","DOI.org (Crossref)","","","","/Users/q537342/Zotero/storage/3HZZGYFX/Bornmann et al. - 2012 - The new Excellence Indicator in the World Report o.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"DIXPHR8B","journalArticle","2009","Scarselli, F.; Gori, M.; Ah Chung Tsoi; Hagenbuchner, M.; Monfardini, G.","The Graph Neural Network Model","IEEE Transactions on Neural Networks","","1045-9227, 1941-0093","10.1109/TNN.2008.2005605","http://ieeexplore.ieee.org/document/4700287/","","2009-01","2022-08-05 22:42:31","2022-11-09 12:30:27","2022-04-05 07:11:03","61-80","","1","20","","IEEE Trans. Neural Netw.","","","","","","","","","","","","","DOI.org (Crossref)","","","","/Users/q537342/Zotero/storage/TR53ASQM/Scarselli et al. - 2009 - The Graph Neural Network Model.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"DUKVH3IU","report","1973","Schneider, E. W.","Course modularization applied: The interface system and its implications for sequence control and data analysis.: (436252004-001)","","","","","http://doi.apa.org/get-pe-doi.cfm?doi=10.1037/e436252004-001","","1973","2022-08-05 22:42:31","2022-11-09 12:30:30","2022-04-05 12:07:44","","","","","","","Course modularization applied","","","","","American Psychological Association","","en","","","","","DOI.org (Crossref)","","Type: dataset DOI: 10.1037/e436252004-001","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MM2NAQHD","journalArticle","1990","Quinlan, J.R.","Learning Logical Definitions from Relations","Machine Learning","","08856125","10.1023/A:1022699322624","http://link.springer.com/10.1023/A:1022699322624","","1990","2022-08-05 22:42:31","2022-11-09 12:30:15","2022-04-05 13:02:40","239-266","","3","5","","","","","","","","","","","","","","","DOI.org (Crossref)","","","","/Users/q537342/Zotero/storage/5RUQPNRT/Quinlan - 1990 - [No title found].pdf","","Knowledge_modeling","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"UFHLTV5L","journalArticle","1988","Chua, L.O.; Yang, L.","Cellular neural networks: applications","IEEE Transactions on Circuits and Systems","","0098-4094, 1558-1276","10.1109/31.7601","https://ieeexplore.ieee.org/document/7601/","","1988-10","2022-08-05 22:42:31","2022-11-09 12:29:29","2022-04-06 13:11:04","1273-1290","","10","35","","IEEE Trans. Circuits Syst.","Cellular neural networks","","","","","","","","","","","","DOI.org (Crossref)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7NK6N96G","conferencePaper","1992","Kaluzny, P.","Counting stable equilibria of cellular neural networks-A graph theoretic approach","CNNA '92 Proceedings Second International Workshop on Cellular Neural Networks and Their Applications","978-0-7803-0875-6","","10.1109/CNNA.1992.274345","http://ieeexplore.ieee.org/document/274345/","","1992","2022-08-05 22:42:31","2022-11-09 12:30:06","2022-04-06 13:14:48","112-116","","","","","","","","","","","IEEE","Munich, Germany","","","","","","DOI.org (Crossref)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","CNNA '92 Second International Workshop on Cellular Neural Networks and Their Applications","","","","","","","","","","","","","","",""
"P6M8CM68","conferencePaper","2005","Ogorzalek, M.; Merkwirth, C.; Wichard, J.","Pattern Recognition Using Finite-Iteration Cellular Systems","2005 9th International Workshop on Cellular Neural Networks and Their Applications","978-0-7803-9185-7","","10.1109/CNNA.2005.1543160","http://ieeexplore.ieee.org/document/1543160/","","2005","2022-08-05 22:42:31","2022-11-09 12:29:18","2022-04-06 13:16:05","57-60","","","","","","","","","","","IEEE","Hsinchu, Taiwan","","","","","","DOI.org (Crossref)","","","","/Users/q537342/Zotero/storage/IWDMDBZS/Ogorzalek et al. - 2005 - Pattern Recognition Using Finite-Iteration Cellula.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2005 9th International Workshop on Cellular Neural Networks and Their Applications","","","","","","","","","","","","","","",""
"5QRP7UEG","journalArticle","1982","Hopfield, J J","Neural networks and physical systems with emergent collective computational abilities.","Proceedings of the National Academy of Sciences","","0027-8424, 1091-6490","10.1073/pnas.79.8.2554","https://pnas.org/doi/full/10.1073/pnas.79.8.2554","Computational properties of use of biological organisms or to the construction of computers can emerge as collective properties of systems having a large number of simple equivalent components (or neurons). The physical meaning of content-addressable memory is described by an appropriate phase space flow of the state of a system. A model of such a system is given, based on aspects of neurobiology but readily adapted to integrated circuits. The collective properties of this model produce a content-addressable memory which correctly yields an entire memory from any subpart of sufficient size. The algorithm for the time evolution of the state of the system is based on asynchronous parallel processing. Additional emergent collective properties include some capacity for generalization, familiarity recognition, categorization, error correction, and time sequence retention. The collective properties are only weakly sensitive to details of the modeling or the failure of individual devices.","1982-04","2022-08-05 22:42:31","2022-11-10 10:43:40","2022-04-06 13:17:05","2554-2558","","8","79","","Proc. Natl. Acad. Sci. U.S.A.","","","","","","","","en","","","","","DOI.org (Crossref)","","","","/Users/q537342/Zotero/storage/QS7DZHFE/Hopfield - 1982 - Neural networks and physical systems with emergent.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7U9X46N5","journalArticle","1998","Frasconi, P.; Gori, M.; Sperduti, A.","A general framework for adaptive processing of data structures","IEEE Transactions on Neural Networks","","10459227","10.1109/72.712151","http://ieeexplore.ieee.org/document/712151/","","1998-09","2022-08-05 22:42:31","2022-11-09 12:29:52","2022-04-06 15:02:09","768-786","","5","9","","IEEE Trans. Neural Netw.","","","","","","","","","","","","","DOI.org (Crossref)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"XRA53G3Z","journalArticle","2020","Stokes, Jonathan M.; Yang, Kevin; Swanson, Kyle; Jin, Wengong; Cubillos-Ruiz, Andres; Donghia, Nina M.; MacNair, Craig R.; French, Shawn; Carfrae, Lindsey A.; Bloom-Ackermann, Zohar; Tran, Victoria M.; Chiappino-Pepe, Anush; Badran, Ahmed H.; Andrews, Ian W.; Chory, Emma J.; Church, George M.; Brown, Eric D.; Jaakkola, Tommi S.; Barzilay, Regina; Collins, James J.","A Deep Learning Approach to Antibiotic Discovery","Cell","","00928674","10.1016/j.cell.2020.01.021","https://linkinghub.elsevier.com/retrieve/pii/S0092867420301021","","2020-02","2022-08-05 22:42:31","2022-11-09 12:30:36","2022-04-07 07:23:10","688-702.e13","","4","180","","Cell","","","","","","","","en","","","","","DOI.org (Crossref)","","","","/Users/q537342/Zotero/storage/QN7BV46W/Stokes et al. - 2020 - A Deep Learning Approach to Antibiotic Discovery.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"M8W378RU","journalArticle","2020","Sanchez-Gonzalez, Alvaro; Godwin, Jonathan; Pfaff, Tobias; Ying, Rex; Leskovec, Jure; Battaglia, Peter W.","Learning to Simulate Complex Physics with Graph Networks","arXiv:2002.09405 [physics, stat]","","","","http://arxiv.org/abs/2002.09405","Here we present a machine learning framework and model implementation that can learn to simulate a wide variety of challenging physical domains, involving fluids, rigid solids, and deformable materials interacting with one another. Our framework---which we term ""Graph Network-based Simulators"" (GNS)---represents the state of a physical system with particles, expressed as nodes in a graph, and computes dynamics via learned message-passing. Our results show that our model can generalize from single-timestep predictions with thousands of particles during training, to different initial conditions, thousands of timesteps, and at least an order of magnitude more particles at test time. Our model was robust to hyperparameter choices across various evaluation metrics: the main determinants of long-term performance were the number of message-passing steps, and mitigating the accumulation of error by corrupting the training data with noise. Our GNS framework advances the state-of-the-art in learned physical simulation, and holds promise for solving a wide range of complex forward and inverse problems.","2020-09-14","2022-08-05 22:42:31","2022-11-09 12:30:26","2022-04-07 07:28:58","","","","","","","","","","","","","","","","","","","arXiv.org","","arXiv: 2002.09405","","/Users/q537342/Zotero/storage/YZ39LPGU/Sanchez-Gonzalez et al. - 2020 - Learning to Simulate Complex Physics with Graph Ne.pdf; /Users/q537342/Zotero/storage/UAZZCCU3/2002.html","","Computer Science - Machine Learning; Physics - Computational Physics; Statistics - Machine Learning","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"242YCNKW","journalArticle","2019","Monti, Federico; Frasca, Fabrizio; Eynard, Davide; Mannion, Damon; Bronstein, Michael M.","Fake News Detection on Social Media using Geometric Deep Learning","arXiv:1902.06673 [cs, stat]","","","","http://arxiv.org/abs/1902.06673","Social media are nowadays one of the main news sources for millions of people around the globe due to their low cost, easy access and rapid dissemination. This however comes at the cost of dubious trustworthiness and significant risk of exposure to 'fake news', intentionally written to mislead the readers. Automatically detecting fake news poses challenges that defy existing content-based analysis approaches. One of the main reasons is that often the interpretation of the news requires the knowledge of political or social context or 'common sense', which current NLP algorithms are still missing. Recent studies have shown that fake and real news spread differently on social media, forming propagation patterns that could be harnessed for the automatic fake news detection. Propagation-based approaches have multiple advantages compared to their content-based counterparts, among which is language independence and better resilience to adversarial attacks. In this paper we show a novel automatic fake news detection model based on geometric deep learning. The underlying core algorithms are a generalization of classical CNNs to graphs, allowing the fusion of heterogeneous data such as content, user profile and activity, social graph, and news propagation. Our model was trained and tested on news stories, verified by professional fact-checking organizations, that were spread on Twitter. Our experiments indicate that social network structure and propagation are important features allowing highly accurate (92.7% ROC AUC) fake news detection. Second, we observe that fake news can be reliably detected at an early stage, after just a few hours of propagation. Third, we test the aging of our model on training and testing data separated in time. Our results point to the promise of propagation-based approaches for fake news detection as an alternative or complementary strategy to content-based approaches.","2019-02-10","2022-08-05 22:42:31","2022-11-09 12:29:16","2022-04-07 07:30:10","","","","","","","","","","","","","","","","","","","arXiv.org","","arXiv: 1902.06673","","/Users/q537342/Zotero/storage/QIKDBYTH/Monti et al. - 2019 - Fake News Detection on Social Media using Geometri.pdf; /Users/q537342/Zotero/storage/CLU62VIF/1902.html","","Computer Science - Machine Learning; Statistics - Machine Learning; Computer Science - Social and Information Networks","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"RUBWK66L","journalArticle","2010","Cireşan, Dan Claudiu; Meier, Ueli; Gambardella, Luca Maria; Schmidhuber, Jürgen","Deep, Big, Simple Neural Nets for Handwritten Digit Recognition","Neural Computation","","0899-7667, 1530-888X","10.1162/NECO_a_00052","https://direct.mit.edu/neco/article/22/12/3207-3220/7596","Good old online backpropagation for plain multilayer perceptrons yields a very low 0.35% error rate on the MNIST handwritten digits benchmark. All we need to achieve this best result so far are many hidden layers, many neurons per layer, numerous deformed training images to avoid overfitting, and graphics cards to greatly speed up learning.","2010-12","2022-08-05 22:42:31","2022-11-09 12:29:03","2022-04-07 07:43:27","3207-3220","","12","22","","Neural Computation","","","","","","","","en","","","","","DOI.org (Crossref)","","","","/Users/q537342/Zotero/storage/F6J9DW8P/Cireşan et al. - 2010 - Deep, Big, Simple Neural Nets for Handwritten Digi.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"FC628EGZ","journalArticle","1958","Rosenblatt, F.","The perceptron: A probabilistic model for information storage and organization in the brain.","Psychological Review","","1939-1471, 0033-295X","10.1037/h0042519","http://doi.apa.org/getdoi.cfm?doi=10.1037/h0042519","","1958","2022-08-05 22:42:31","2022-11-09 12:30:22","2022-04-07 07:51:07","386-408","","6","65","","Psychological Review","The perceptron","","","","","","","en","","","","","DOI.org (Crossref)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"NZGRR7R5","journalArticle","1943","McCulloch, Warren S.; Pitts, Walter","A logical calculus of the ideas immanent in nervous activity","The Bulletin of Mathematical Biophysics","","0007-4985, 1522-9602","10.1007/BF02478259","http://link.springer.com/10.1007/BF02478259","","1943-12","2022-08-05 22:42:31","2022-11-09 12:30:11","2022-04-07 07:53:36","115-133","","4","5","","Bulletin of Mathematical Biophysics","","","","","","","","en","","","","","DOI.org (Crossref)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"XTAM3A2H","book","1972","Minsky, Marvin; Papert, Seymour A.","Perceptrons: an introduction to computational geometry","","978-0-262-63022-1 978-0-262-13043-1","","","","","1972","2022-08-05 22:42:31","2022-11-09 12:29:15","","","258","","","","","Perceptrons","","","","","The MIT Press","Cambridge/Mass.","eng","","","","","K10plus ISBN","","","","/Users/q537342/Zotero/storage/E4G65L3P/Minsky and Papert - 1972 - Perceptrons an introduction to computational geom.pdf","","","","","","","","","","","","","","","","","","","","","","","2. print. with corr","","","","","","","","","","","","","","","","","","","","","","","","","",""
"UED44RRF","book","2018","Aggarwal, Charu C.","Neural networks and deep learning: a textbook","","978-3-319-94462-3 978-3-030-06856-1","","","","","2018","2022-08-05 22:42:31","2022-11-09 12:28:59","","","497","","","","","Neural networks and deep learning","","","","","Springer","Cham, Switzerland","eng","","","","","K10plus ISBN","","DOI: 10.1007/978-3-319-94463-0","","/Users/q537342/Zotero/storage/WIMB6JVY/Aggarwal - 2018 - Neural networks and deep learning a textbook.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Y623THLS","journalArticle","2020","Zhou, Jie; Cui, Ganqu; Hu, Shengding; Zhang, Zhengyan; Yang, Cheng; Liu, Zhiyuan; Wang, Lifeng; Li, Changcheng; Sun, Maosong","Graph neural networks: A review of methods and applications","AI Open","","26666510","10.1016/j.aiopen.2021.01.001","https://linkinghub.elsevier.com/retrieve/pii/S2666651021000012","","2020","2022-08-05 22:42:31","2022-11-09 12:29:20","2022-04-07 08:21:06","57-81","","","1","","AI Open","Graph neural networks","","","","","","","en","","","","","DOI.org (Crossref)","","","","/Users/q537342/Zotero/storage/FC3B5HFF/Zhou et al. - 2020 - Graph neural networks A review of methods and app.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7APVY8NX","journalArticle","1967","Denardo, Eric V.","Contraction Mappings in the Theory Underlying Dynamic Programming","SIAM Review","","0036-1445, 1095-7200","10.1137/1009030","http://epubs.siam.org/doi/10.1137/1009030","","1967-04","2022-08-05 22:42:31","2022-11-09 12:29:30","2022-04-07 08:44:38","165-177","","2","9","","SIAM Rev.","","","","","","","","en","","","","","DOI.org (Crossref)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"X9FNSGGD","conferencePaper","2021","Wang, Bin; Wang, Guangtao; Huang, Jing; You, Jiaxuan; Leskovec, Jure; Kuo, C.-C. Jay","Inductive Learning on Commonsense Knowledge Graph Completion","2021 International Joint Conference on Neural Networks (IJCNN)","978-1-66543-900-8","","10.1109/IJCNN52387.2021.9534355","https://ieeexplore.ieee.org/document/9534355/","","2021-07-18","2022-08-05 22:42:31","2022-11-09 12:29:18","2022-04-08 07:44:04","1-8","","","","","","","","","","","IEEE","Shenzhen, China","","","","","","DOI.org (Crossref)","","","","/Users/q537342/Zotero/storage/DIUMKQSG/Wang et al. - 2021 - Inductive Learning on Commonsense Knowledge Graph .pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2021 International Joint Conference on Neural Networks (IJCNN)","","","","","","","","","","","","","","",""
"ILK9DNLY","bookSection","2001","Sakurai, Shigeaki; Ichimura, Yumi; Suyama, Akihiro; Orihara, Ryohei","Inductive learning of a knowledge dictionary for a text mining system","Engineering of Intelligent Systems","978-3-540-42219-8 978-3-540-45517-2","","","http://link.springer.com/10.1007/3-540-45517-5_28","","2001","2022-08-05 22:42:31","2022-11-09 12:30:25","2022-04-08 07:52:00","247-252","","","2070","","","","","","","","Springer Berlin Heidelberg","Berlin, Heidelberg","","","","","","DOI.org (Crossref)","","Series Title: Lecture Notes in Computer Science DOI: 10.1007/3-540-45517-5_28","","","","","","Monostori, László; Váncza, József; Ali, Moonis","Goos, G.; Hartmanis, J.; van Leeuwen, J.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"RQE8AQN8","journalArticle","2019","Comet, Lina Teresa Molinas","Clustering Knowledge Graphs","","","","10.13140/RG.2.2.12494.08008","http://rgdoi.net/10.13140/RG.2.2.12494.08008","","2019","2022-08-05 22:42:31","2022-11-09 12:29:29","2022-04-14 08:42:13","","","","","","","","","","","","","","en","","","","","DOI.org (Datacite)","","Publisher: Unpublished","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"35TZTTW3","bookSection","2006","Schmitz, Christoph; Hotho, Andreas; Jäschke, Robert; Stumme, Gerd","Content Aggregation on Knowledge Bases Using Graph Clustering","The Semantic Web: Research and Applications","978-3-540-34544-2 978-3-540-34545-9","","","http://link.springer.com/10.1007/11762256_39","","2006","2022-08-05 22:42:31","2022-11-09 12:30:28","2022-04-14 11:10:31","530-544","","","4011","","","","","","","","Springer Berlin Heidelberg","Berlin, Heidelberg","","","","","","DOI.org (Crossref)","","Series Title: Lecture Notes in Computer Science DOI: 10.1007/11762256_39","","/Users/q537342/Zotero/storage/9XBQ76KI/Schmitz et al. - 2006 - Content Aggregation on Knowledge Bases Using Graph.pdf","","","","Sure, York; Domingue, John","Hutchison, David; Kanade, Takeo; Kittler, Josef; Kleinberg, Jon M.; Mattern, Friedemann; Mitchell, John C.; Naor, Moni; Nierstrasz, Oscar; Pandu Rangan, C.; Steffen, Bernhard; Sudan, Madhu; Terzopoulos, Demetri; Tygar, Dough; Vardi, Moshe Y.; Weikum, Gerhard","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3XA97M46","bookSection","2017","Elbattah, Mahmoud; Roushdy, Mohamed; Aref, Mostafa; Salem, Abdel-Badeeh M.","Large-Scale Entity Clustering Based on Structural Similarities within Knowledge Graphs","Big Data Analytics","978-1-315-39125-0","","","https://www.taylorfrancis.com/books/9781351180320/chapters/10.1201/b21822-14","","2017-10-30","2022-08-05 22:42:31","2022-11-09 12:29:51","2022-04-14 11:13:18","311-334","","","","","","","","","","","Chapman and Hall/CRC","Boca Raton : CRC Press, [2018] | Series: Chapman & Hall/CRC Press big data series","en","","","","","DOI.org (Crossref)","","DOI: 10.1201/b21822-14","","","","","","Somani, Arun K.; Deka, Ganesh Chandra","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MMYLN89C","journalArticle","2020","Lecue, Freddy","On the role of knowledge graphs in explainable AI","Semantic Web","","22104968, 15700844","10.3233/SW-190374","https://www.medra.org/servlet/aliasResolver?alias=iospress&doi=10.3233/SW-190374","","2020-01-31","2022-08-05 22:42:31","2022-11-09 12:30:07","2022-04-21 08:04:48","41-51","","1","11","","SW","","","","","","","","","","","","","DOI.org (Crossref)","","","","","","artificial intelligence; explainable AI; Knowledge graph; machine learning","","Hitzler, Pascal; Janowicz, Krzysztof","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"78RTHHR6","journalArticle","2020","Hitzler, Pascal; Bianchi, Federico; Ebrahimi, Monireh; Sarker, Md Kamruzzaman","Neural-symbolic integration and the Semantic Web","Semantic Web","","22104968, 15700844","10.3233/SW-190368","https://www.medra.org/servlet/aliasResolver?alias=iospress&doi=10.3233/SW-190368","","2020-01-31","2022-08-05 22:42:31","2022-11-09 12:29:57","2022-04-21 09:01:58","3-11","","1","11","","SW","","","","","","","","","","","","","DOI.org (Crossref)","","","","","","","","Janowicz, Krzysztof","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"KS6FE33F","journalArticle","1996","Fayyad, Usama; Smyth, Padhraic; Piatetsky-Shapiro, Gregory","From Data Mining to Knowledge Discovery in Databases","AI Magazine","","","https://doi.org/10.1609/aimag.v17i3.1230","","","1996","2022-08-05 22:42:31","2022-11-09 12:29:08","","37-54","","3","17","","","","","","","","","","","","","","","","","","","/Users/q537342/Zotero/storage/A5BJAUGJ/Fayyad et al. - 1996 - From Data Mining to Knowledge Discovery in Databas.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TU4JWPJX","journalArticle","1993","Towell, Geoffrey G.; Shavlik, Jude W.","Extracting refined rules from knowledge-based neural networks","Machine Learning","","0885-6125, 1573-0565","10.1007/BF00993103","http://link.springer.com/10.1007/BF00993103","","1993-10","2022-08-05 22:42:31","2022-11-09 12:30:39","2022-05-01 10:01:55","71-101","","1","13","","Mach Learn","","","","","","","","en","","","","","DOI.org (Crossref)","","","","/Users/q537342/Zotero/storage/RLGSRKNN/Towell and Shavlik - 1993 - Extracting refined rules from knowledge-based neur.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"LZ2BML7H","conferencePaper","2009","Huang, Zhaohui; Chen, Huajun; Yu, Tong; Sheng, Hao; Luo, Zhaobo; Mao, Yuxin","Semantic Text Mining with Linked Data","2009 Fifth International Joint Conference on INC, IMS and IDC","978-1-4244-5209-5","","10.1109/NCM.2009.131","http://ieeexplore.ieee.org/document/5331702/","","2009","2022-08-05 22:42:31","2022-11-09 12:30:01","2022-05-02 11:48:30","338-343","","","","","","","","","","","IEEE","Seoul, South Korea","","","","","","DOI.org (Crossref)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2009 Fifth International Joint Conference on INC, IMS and IDC","","","","","","","","","","","","","","",""
"RVMFYIW7","book","2012","Simperl, Elena; European Semantic Web Symposium","The semantic web: research and applications 9th Extended Semantic Web Conference, ESWC 2012, Heraklion, Crete, Greece, May 27-31, 2012 proceedings","","978-3-642-30284-8","","","","","2012","2022-08-05 22:42:31","2022-11-09 12:30:33","","","","","","","","The semantic web","Lecture notes in computer science","7295","","","Springer","Heidelberg","eng","","","","","BnF ISBN","025.042 7","","","","","","","","","","European Semantic Web Symposium","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"RCA8KZD3","book","2015","","The Semantic Web: ESWC 2015 Satellite Events: ESWC 2015 Satellite Events, Portorož, Slovenia, May 31 - June 4, 2015, Revised Selected Papers","","978-3-319-25639-9","","","","This book constitutes the thoroughly refereed post-conference proceedings of the Satellite Events of the 12th European Conference on the Semantic Web, ESWC 2015, held in Portorǒz, Slovenia, in May/June 2015. The volume contains 12 poster and 22 demonstration papers, selected from 50 submissions, as well as 22 best workshop papers selected from 140 papers presented at the 16 workshops that took place at ESWC 2015. The papers cover various aspects of the semantic web","2015","2022-08-05 22:42:31","2022-11-09 12:29:28","","","1","","","","","The Semantic Web","Computer Communication Networks and Telecommunications","9341","","","Springer International Publishing : Imprint: Springer","Cham","","","","","","Library of Congress ISBN","025.04","DOI: 10.1007/978-3-319-25639-9","","","","Application software; Artificial intelligence; Artificial Intelligence; Database management; Database Management; Information storage and retrieval; Information Storage and Retrieval; Information Systems Applications (incl. Internet); Natural language processing (Computer science); Natural Language Processing (NLP)","","Breslin, John; Faron-Zucker, Catherine; Gandon, Fabien; Guéret, Christophe; Villata, Serena; Zimmermann, Antoine","","","","","","","","","","","","","","","","","","","1st ed. 2015","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PTG4GJU5","bookSection","2019","Montavon, Grégoire; Binder, Alexander; Lapuschkin, Sebastian; Samek, Wojciech; Müller, Klaus-Robert","Layer-Wise Relevance Propagation: An Overview","Explainable AI: Interpreting, Explaining and Visualizing Deep Learning","978-3-030-28953-9 978-3-030-28954-6","","","http://link.springer.com/10.1007/978-3-030-28954-6_10","","2019","2022-08-05 22:42:31","2022-08-05 22:42:31","2022-05-11 20:12:40","193-209","","","11700","","","Layer-Wise Relevance Propagation","","","","","Springer International Publishing","Cham","en","","","","","DOI.org (Crossref)","","Series Title: Lecture Notes in Computer Science DOI: 10.1007/978-3-030-28954-6_10","","","","","","Samek, Wojciech; Montavon, Grégoire; Vedaldi, Andrea; Hansen, Lars Kai; Müller, Klaus-Robert","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BFNKRA4I","journalArticle","2020","Huang, Qiang; Yamada, Makoto; Tian, Yuan; Singh, Dinesh; Yin, Dawei; Chang, Yi","GraphLIME: Local Interpretable Model Explanations for Graph Neural Networks","","","","","http://arxiv.org/abs/2001.06216","Graph structured data has wide applicability in various domains such as physics, chemistry, biology, computer vision, and social networks, to name a few. Recently, graph neural networks (GNN) were shown to be successful in effectively representing graph structured data because of their good performance and generalization ability. GNN is a deep learning based method that learns a node representation by combining specific nodes and the structural/topological information of a graph. However, like other deep models, explaining the effectiveness of GNN models is a challenging task because of the complex nonlinear transformations made over the iterations. In this paper, we propose GraphLIME, a local interpretable model explanation for graphs using the Hilbert-Schmidt Independence Criterion (HSIC) Lasso, which is a nonlinear feature selection method. GraphLIME is a generic GNN-model explanation framework that learns a nonlinear interpretable model locally in the subgraph of the node being explained. More specifically, to explain a node, we generate a nonlinear interpretable model from its $N$-hop neighborhood and then compute the K most representative features as the explanations of its prediction using HSIC Lasso. Through experiments on two real-world datasets, the explanations of GraphLIME are found to be of extraordinary degree and more descriptive in comparison to the existing explanation methods.","2020-09-27","2022-08-05 22:42:31","2022-08-05 22:42:31","2022-05-20 09:01:09","","","","","","","GraphLIME","","","","","","","","","","","","arXiv.org","","Number: arXiv:2001.06216 arXiv:2001.06216 [cs, stat]","","/Users/q537342/Zotero/storage/3JIVDA93/Huang et al. - 2020 - GraphLIME Local Interpretable Model Explanations .pdf; /Users/q537342/Zotero/storage/6DQIAD3S/2001.html","","Computer Science - Machine Learning; Statistics - Machine Learning","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
